id,allch,ch,basech,vowel
1,"a,ā,á,à",a,a,TRUE
2,"a,ā,á,à",à,a,TRUE
3,"a,ā,á,à",ā,a,TRUE
4,"a,ā,á,à",á,a,TRUE
5,"e,é,è,ē,ẹ́,è̩,ẹ̄",e,e,TRUE
6,"e,é,è,ē,ẹ́,è̩,ẹ̄",ē,e,TRUE
7,"e,é,è,ē,ẹ́,è̩,ẹ̄",é,e,TRUE
8,"e,é,è,ē,ẹ́,è̩,ẹ̄",è,e,TRUE
9,"e,é,è,ē,ẹ́,è̩,ẹ̄",ẹ́,e,TRUE
10,"e,é,è,ē,ẹ́,è̩,ẹ̄",è̩,e,TRUE
11,"e,é,è,ē,ẹ́,è̩,ẹ̄",ẹ̄,e,TRUE
12,"i,í,ì,ī,ị̄,ị́,ị̀",i,i,TRUE
13,"i,í,ì,ī,ị̄,ị́,ị̀",í,i,TRUE
14,"i,í,ì,ī,ị̄,ị́,ị̀",ì,i,TRUE
15,"i,í,ì,ī,ị̄,ị́,ị̀",ī,i,TRUE
16,"i,í,ì,ī,ị̄,ị́,ị̀",ị̄,i,TRUE
17,"i,í,ì,ī,ị̄,ị́,ị̀",ị́,i,TRUE
18,"i,í,ì,ī,ị̄,ị́,ị̀",ị̀,i,TRUE
19,"o,ó,ò,ō,ọ́,ọ̀,ọ̄",o,o,TRUE
20,"o,ó,ò,ō,ọ́,ọ̀,ọ̄",ó,o,TRUE
21,"o,ó,ò,ō,ọ́,ọ̀,ọ̄",ō,o,TRUE
22,"o,ó,ò,ō,ọ́,ọ̀,ọ̄",ò,o,TRUE
23,"o,ó,ò,ō,ọ́,ọ̀,ọ̄",ọ́,o,TRUE
24,"o,ó,ò,ō,ọ́,ọ̀,ọ̄",ọ̀,o,TRUE
25,"o,ó,ò,ō,ọ́,ọ̀,ọ̄",ọ̄,o,TRUE
26,"u,ú,ū,ù,ụ́,ụ̄,ụ̀",u,u,TRUE
27,"u,ú,ū,ù,ụ́,ụ̄,ụ̀",ú,u,TRUE
28,"u,ú,ū,ù,ụ́,ụ̄,ụ̀",ū,u,TRUE
29,"u,ú,ū,ù,ụ́,ụ̄,ụ̀",ù,u,TRUE
30,"u,ú,ū,ù,ụ́,ụ̄,ụ̀",ụ́,u,TRUE
31,"u,ú,ū,ù,ụ́,ụ̄,ụ̀",ụ̄,u,TRUE
32,"u,ú,ū,ù,ụ́,ụ̄,ụ̀",ụ̀,u,TRUE
33,"b, ḅ",b,b,FALSE
34,"b, ḅ",ḅ,b,FALSE
35,"d, ḍ",d,d,FALSE
36,"d, ḍ",ḍ,d,FALSE